Week,Average,Two-Week Average,One-Month Average,Two-Month Moving Average,Weekly Average Diff From Base,Two-Week Average Diff From Base,One-Month Average Diff From Base,Two-Month Average Diff From Base,PxCh,Base Sentiment,0.738305
7/27/2016,1.787686868,1.514756926,1.415096135,1.5228006,1.049381868,0.776451926,0.676791135,0.7844956,,,
8/3/2016,1.447358379,1.617522624,1.523562061,1.546224452,0.709053379,0.879217624,0.785257061,0.807919452,,,
8/10/2016,1.442700223,1.445029301,1.479893114,1.418336033,0.704395223,0.706724301,0.741588114,0.680031033,,,
8/17/2016,1.136642812,1.289671517,1.45359707,1.365430253,0.398337812,0.551366517,0.71529207,0.627125253,,,
8/24/2016,1.531865218,1.334254015,1.389641658,1.402368896,0.793560218,0.595949015,0.651336658,0.664063896,,,
8/31/2016,1.240895431,1.386380325,1.338025921,1.430793991,0.502590431,0.648075325,0.599720921,0.692488991,,,
9/7/2016,1.108738095,1.174816763,1.254535389,1.367214251,0.370433095,0.436511763,0.516230389,0.628909251,,,
9/14/2016,0.692349998,0.900544047,1.143462186,1.298529628,-0.045955002,0.162239047,0.405157186,0.560224628,,,
9/21/2016,0.953398082,0.82287404,0.998845402,1.19424353,0.215093082,0.08456904,0.260540402,0.45593853,,,
9/28/2016,1.891951994,1.422675038,1.161609542,1.249817732,1.153646994,0.684370038,0.423304542,0.511512732,,,
10/5/2016,1.680787322,1.786369658,1.304621849,1.279578619,0.942482322,1.048064658,0.566316849,0.541273619,,,
10/12/2016,1.572801762,1.626794542,1.52473479,1.334098488,0.834496762,0.888489542,0.78642979,0.595793488,,,
10/19/2016,-1.126251361,0.223275201,1.004822429,1.001833916,-1.864556361,-0.515029799,0.266517429,0.263528916,,,
10/26/2016,1.552578465,0.213163552,0.919979047,1.040794295,0.814273465,-0.525141448,0.181674047,0.302489295,,,
11/2/2016,1.293141661,1.422860063,0.823067632,1.06384474,0.554836661,0.684555063,0.084762632,0.32553974,,,
11/9/2016,1.635533351,1.464337506,0.838750529,1.18174266,0.897228351,0.726032506,0.100445529,0.44343766,,,
11/16/2016,1.771318971,1.703426161,1.563143112,1.283982771,1.033013971,0.965121161,0.824838112,0.545677771,,,
11/23/2016,1.821056187,1.796187579,1.630262543,1.275120795,1.082751187,1.057882579,0.891957543,0.536815795,,,
11/30/2016,1.702855423,1.761955805,1.732690983,1.277879308,0.964550423,1.023650805,0.994385983,0.539574308,,,
12/7/2016,1.922924816,1.81289012,1.804538849,1.321644689,1.184619816,1.07458512,1.066233849,0.583339689,,,
12/14/2016,1.286527231,1.604726024,1.683340914,1.623242013,0.548222231,0.866421024,0.945035914,0.884937013,,,
12/21/2016,1.180924088,1.233725659,1.523307889,1.576785216,0.442619088,0.495420659,0.785002889,0.838480216,,,
12/28/2016,0.837420346,1.009172217,1.30694912,1.519820052,0.099115346,0.270867217,0.56864412,0.781515052,,,
1/4/2017,1.358322806,1.097871576,1.165798618,1.485168734,0.620017806,0.359566576,0.427493618,0.746863734,,,
1/11/2017,0.502617685,0.930470245,0.969821231,1.326581073,-0.235687315,0.192165245,0.231516231,0.588276073,,,
1/18/2017,1.060348371,0.781483028,0.939677302,1.231492596,0.322043371,0.043178028,0.201372302,0.493187596,,,
1/25/2017,1.615598533,1.337973452,1.134221849,1.220585484,0.877293533,0.599668452,0.395916849,0.482280484,,,
2/1/2017,0.931902895,1.273750714,1.027616871,1.096707744,0.193597895,0.535445714,0.289311871,0.358402744,,,
2/8/2017,0.804622382,0.868262639,1.103118045,1.036469638,0.066317382,0.129957639,0.364813045,0.298164638,,,
2/15/2017,1.361757783,1.083190083,1.178470398,1.05907385,0.623452783,0.344885083,0.440165398,0.32076885,,,
2/22/2017,-2.001436546,-0.319839381,0.274211629,0.704216739,-2.739741546,-1.058144381,-0.464093371,-0.034088261,,,
3/1/2017,-3.263031605,-2.632234076,-0.774521996,0.126547437,-4.001336605,-3.370539076,-1.512826996,-0.611757563,,,
3/8/2017,0.305431345,-1.47880013,-0.899319756,0.101899145,-0.432873655,-2.21710513,-1.637624756,-0.636405855,,,
3/15/2017,1.876904781,1.091168063,-0.770533006,0.203968696,1.138599781,0.352863063,-1.508838006,-0.534336304,,,
3/22/2017,2.023982334,1.950443557,0.235821714,0.255016671,1.285677334,1.212138557,-0.502483286,-0.483288329,,,
3/29/2017,1.77161155,1.897796942,1.494482502,0.359980253,1.03330655,1.159491942,0.756177502,-0.378324747,,,
4/5/2017,0.895699783,,,,,,,,,,
4/12/2017,0.888129552,,,,,,,,,,
