v2tone,positive score,negative score,polarity,activity reference density,self/group reference density,word count,date,date format,year,month,day,min,max,avg,std
0.701754386,1.754385965,1.052631579,2.807017544,26.66666667,0,268,2.02E+13,3/11/15 8:00,2015,3,11,,,,
4.495912807,4.904632153,0.408719346,5.313351499,18.25613079,1.634877384,683,2.02E+13,3/11/15 10:00,2015,3,11,,,,
4.47761194,4.884667571,0.407055631,5.291723202,18.31750339,1.628222524,686,2.02E+13,3/11/15 11:30,2015,3,11,,,,
-1.204819277,2.771084337,3.975903614,6.746987952,23.25301205,0.361445783,732,2.02E+13,3/11/15 17:30,2015,3,11,,,,
0.704225352,1.408450704,0.704225352,2.112676056,22.18309859,1.408450704,265,2.02E+13,3/11/15 19:30,2015,3,11,,,,
3.716216216,4.054054054,0.337837838,4.391891892,23.98648649,1.689189189,272,2.02E+13,3/11/15 19:45,2015,3,11,,,,
0,1.13960114,1.13960114,2.279202279,21.65242165,0.284900285,302,2.02E+13,3/12/15 15:15,2015,3,12,,,,
0,1.15942029,1.15942029,2.31884058,21.44927536,0,297,2.02E+13,3/12/15 15:30,2015,3,12,,,,
0,1.114206128,1.114206128,2.228412256,22.28412256,0.278551532,343,2.02E+13,3/12/15 15:45,2015,3,12,,,,
3.716216216,4.054054054,0.337837838,4.391891892,23.98648649,1.689189189,273,2.02E+13,3/12/15 16:30,2015,3,12,,,,
-0.64516129,0.967741935,1.612903226,2.580645161,27.74193548,0.322580645,298,2.02E+13,3/12/15 18:15,2015,3,12,,,,
1.630434783,1.630434783,0,1.630434783,23.91304348,0,311,2.02E+13,3/12/15 19:00,2015,3,12,,,,
3.716216216,4.054054054,0.337837838,4.391891892,23.98648649,1.689189189,273,2.02E+13,3/12/15 19:45,2015,3,12,,,,
3.716216216,3.716216216,0,3.716216216,26.68918919,1.013513514,281,2.02E+13,3/12/15 20:45,2015,3,12,,,,
3.389830508,3.389830508,0,3.389830508,17.62711864,2.033898305,263,2.02E+13,3/12/15 21:30,2015,3,12,,,,
3.246753247,3.246753247,0,3.246753247,17.85714286,2.597402597,287,2.02E+13,3/12/15 21:45,2015,3,12,,,,
3.246753247,3.246753247,0,3.246753247,17.85714286,2.597402597,287,2.02E+13,3/12/15 21:45,2015,3,12,,,,
2.151898734,2.784810127,0.632911392,3.417721519,24.43037975,1.64556962,724,2.02E+13,3/13/15 8:00,2015,3,13,,,,
2.575107296,3.004291845,0.429184549,3.433476395,20.60085837,0.858369099,216,2.02E+13,3/13/15 8:15,2015,3,13,,,,
2.81124498,3.212851406,0.401606426,3.614457831,20.48192771,0.803212851,216,2.02E+13,3/13/15 8:45,2015,3,13,,,,
1.785714286,2.232142857,0.446428571,2.678571429,21.875,0.892857143,205,2.02E+13,3/13/15 9:00,2015,3,13,,,,
2.592592593,2.962962963,0.37037037,3.333333333,21.11111111,0.740740741,250,2.02E+13,3/13/15 9:45,2015,3,13,,,,
2.298850575,2.681992337,0.383141762,3.0651341,20.68965517,0.766283525,241,2.02E+13,3/13/15 11:00,2015,3,13,,,,
2.575107296,3.004291845,0.429184549,3.433476395,20.60085837,0.858369099,216,2.02E+13,3/13/15 12:00,2015,3,13,,,,
2.298850575,2.681992337,0.383141762,3.0651341,20.68965517,0.766283525,241,2.02E+13,3/13/15 12:15,2015,3,13,,,,
2.586206897,3.017241379,0.431034483,3.448275862,20.68965517,0.862068966,215,2.02E+13,3/13/15 13:30,2015,3,13,,,,
2.298850575,2.681992337,0.383141762,3.0651341,20.68965517,0.766283525,241,2.02E+13,3/13/15 13:45,2015,3,13,,,,
1.612903226,2.822580645,1.209677419,4.032258065,20.16129032,0.806451613,228,2.02E+13,3/13/15 15:00,2015,3,13,,,,
0.324675325,1.623376623,1.298701299,2.922077922,24.35064935,1.948051948,283,2.02E+13,3/13/15 15:30,2015,3,13,,,,
1.933701657,3.314917127,1.38121547,4.696132597,23.75690608,2.209944751,338,2.02E+13,3/13/15 20:00,2015,3,13,,,,
3.287671233,3.835616438,0.547945205,4.383561644,22.73972603,3.01369863,332,2.02E+13,3/14/15 1:30,2015,3,14,,,,
0.344827586,1.034482759,0.689655172,1.724137931,21.37931034,2.413793103,259,2.02E+13,3/14/15 5:30,2015,3,14,,,,
2.298850575,2.681992337,0.383141762,3.0651341,20.68965517,0.766283525,241,2.02E+13,3/14/15 5:45,2015,3,14,,,,
-1.424501425,1.424501425,2.849002849,4.273504274,21.65242165,0.997150997,607,2.02E+13,3/14/15 14:45,2015,3,14,,,,
0.988386459,2.372127502,1.383741043,3.755868545,19.94069681,0.247096615,7143,2.02E+13,3/14/15 16:15,2015,3,14,,,,
5.564387917,5.723370429,0.158982512,5.882352941,18.6009539,0.635930048,468,2.02E+13,3/14/15 22:45,2015,3,14,,,,
5,5.208333333,0.208333333,5.416666667,23.125,1.666666667,432,2.02E+13,3/15/15 3:30,2015,3,15,,,,
1.369863014,1.369863014,0,1.369863014,27.39726027,0,135,2.02E+13,3/16/15 19:45,2015,3,16,,,,
0.270178994,2.938196555,2.668017562,5.606214117,24.46808511,0.658561297,5310,2.02E+13,3/17/15 3:45,2015,3,17,,,,
4.865771812,4.865771812,0,4.865771812,25.83892617,0.167785235,524,2.02E+13,3/17/15 5:45,2015,3,17,,,,
2.985074627,2.985074627,0,2.985074627,17.91044776,1.492537313,281,2.02E+13,3/17/15 14:30,2015,3,17,,,,
2.840236686,4.142011834,1.301775148,5.443786982,18.46153846,1.420118343,753,2.02E+13,3/17/15 15:30,2015,3,17,,,,
2.840236686,4.142011834,1.301775148,5.443786982,18.46153846,1.420118343,753,2.02E+13,3/17/15 15:30,2015,3,17,,,,
2.830188679,4.127358491,1.297169811,5.424528302,18.51415094,1.41509434,754,2.02E+13,3/17/15 15:45,2015,3,17,,,,
5,5.625,0.625,6.25,23.4375,1.875,277,2.02E+13,3/17/15 17:45,2015,3,17,,,,
2.830188679,4.127358491,1.297169811,5.424528302,18.51415094,1.41509434,758,2.02E+13,3/17/15 18:15,2015,3,17,,,,
1.838235294,3.06372549,1.225490196,4.289215686,21.69117647,0,736,2.02E+13,3/17/15 19:15,2015,3,17,,,,
1.800720288,3.00120048,1.200480192,4.201680672,21.72869148,0,751,2.02E+13,3/17/15 19:45,2015,3,17,,,,
-0.637619554,2.125398512,2.763018066,4.888416578,21.67906482,0.531349628,814,2.02E+13,3/17/15 19:45,2015,3,17,,,,
0.648508431,2.075226978,1.426718547,3.501945525,21.27107652,0,658,2.02E+13,3/17/15 20:15,2015,3,17,,,,
