Week,Average,Two-Week Average,One-Month Average,Two-Month Moving Average,Weekly Average Diff From Base,Two-Week Average Diff From Base,One-Month Average Diff From Base,Two-Month Average Diff From Base,PxCh,Base Sentiment,0.4075891
5/4/2016,1.107449722,1.190159543,0.837911112,0.496080275,0.699860622,0.782570443,0.430322012,0.088491175,,,
5/11/2016,0.555064841,0.831257282,0.911211707,0.529317216,0.147475741,0.423668182,0.503622607,0.121728116,,,
5/18/2016,0.448873825,0.501969333,0.846064438,0.525732108,0.041284725,0.094380233,0.438475338,0.118143008,,,
5/25/2016,0.241641183,0.345257504,0.588257393,0.63974336,-0.165947917,-0.062331596,0.180668293,0.23215426,,,
6/1/2016,1.735940679,0.988790931,0.745380132,0.791645622,1.328351579,0.581201831,0.337791032,0.384056522,,,
6/8/2016,-1.30595337,0.214993655,0.280125579,0.595668643,-1.71354247,-0.192595445,-0.127463521,0.188079543,,,
6/15/2016,0.290379807,-0.507786781,0.240502075,0.543283256,-0.117209293,-0.915375881,-0.167087025,0.135694156,,,
6/22/2016,0.484293385,0.387336596,0.301165125,0.444711259,0.076704285,-0.020252504,-0.106423975,0.037122159,,,
6/29/2016,0.487158728,0.485726056,-0.011030362,0.367174885,0.079569628,0.078136956,-0.418619462,-0.040414215,,,
7/6/2016,-2.101645734,-0.807243503,-0.209953454,0.035086063,-2.509234834,-1.214832603,-0.617542554,-0.372503037,,,
7/13/2016,-0.60598695,-1.353816342,-0.434045143,-0.096771534,-1.01357605,-1.761405442,-0.841634243,-0.504360634,,,
7/20/2016,-0.103465926,-0.354726438,-0.580984971,-0.139909923,-0.511055026,-0.762315538,-0.988574071,-0.547499023,,,
7/27/2016,0.447533998,0.172034036,-0.590891153,-0.300960758,0.039944898,-0.235555064,-0.998480253,-0.708549858,,,
8/3/2016,0.558286392,0.502910195,0.074091879,-0.067930787,0.150697292,0.095321095,-0.333497221,-0.475519887,,,
8/10/2016,0.060003046,0.309144719,0.240589378,-0.096727883,-0.347586054,-0.098444381,-0.166999722,-0.504316983,,,
8/17/2016,0.520870643,0.290436845,0.39667352,-0.092155725,0.113281543,-0.117152255,-0.01091558,-0.499744825,,,
8/24/2016,-0.386787222,0.06704171,0.188093215,-0.201398969,-0.794376322,-0.34054739,-0.219495885,-0.608988069,,,
8/31/2016,-0.112937774,-0.249862498,0.020287173,0.047189526,-0.520526874,-0.657451598,-0.387301927,-0.360399574,,,
9/7/2016,-0.821223794,-0.467080784,-0.200019537,0.02028492,-1.228812894,-0.874669884,-0.607608637,-0.38730418,,,
9/14/2016,0.456238781,-0.182492506,-0.216177502,0.090248009,0.048649681,-0.590081606,-0.623766602,-0.317341091,,,
9/21/2016,0.250125775,0.353182278,-0.056949253,0.065571981,-0.157463325,-0.054406822,-0.464538353,-0.342017119,,,
9/28/2016,0.385375459,0.317750617,0.067629055,0.043958114,-0.022213641,-0.089838483,-0.339960045,-0.363630986,,,
10/5/2016,0.252693534,0.319034497,0.336108387,0.068044425,-0.154895566,-0.088554603,-0.071480713,-0.339544675,,,
10/12/2016,0.811375973,0.532034753,0.424892685,0.104357592,0.403786873,0.124445653,0.017303585,-0.303231508,,,
10/19/2016,-0.925556137,-0.057090082,0.130972207,0.037011477,-1.333145237,-0.464679182,-0.276616893,-0.370577623,,,
10/26/2016,0.377668169,-0.273943984,0.129045385,0.09833722,-0.029920931,-0.681533084,-0.278543715,-0.30925188,,,
11/2/2016,0.898138572,0.63790337,0.290406644,0.313257516,0.490549472,0.23031427,-0.117182456,-0.094331584,,,
11/9/2016,-0.023978824,0.437079874,0.081567945,0.253230315,-0.431567924,0.029490774,-0.326021155,-0.154358785,,,
11/16/2016,1.941932202,0.958976689,0.79844003,0.464706119,1.534343102,0.551387589,0.39085093,0.057117019,,,
11/23/2016,1.502920664,1.722426433,1.079753154,0.604399269,1.095331564,1.314837333,0.672164054,0.196810169,,,
11/30/2016,0.594486265,1.048703465,1.003840077,0.647123361,0.186897165,0.641114365,0.596250977,0.239534261,,,
12/7/2016,1.763161842,1.178824054,1.450625243,0.766096594,1.355572742,0.771234954,1.043036143,0.358507494,,,
12/14/2016,0.433588387,1.098375114,1.07353929,0.93598966,0.025999287,0.690786014,0.66595019,0.52840056,,,
12/21/2016,0.429462719,0.431525553,0.805174803,0.942463978,0.021873619,0.023936453,0.397585703,0.534874878,,,
12/28/2016,1.237798623,0.833630671,0.966002893,0.984921485,0.830209523,0.426041571,0.558413793,0.577332385,,,
1/4/2017,1.734096546,1.485947585,0.958736569,1.204680906,1.326507446,1.078358485,0.551147469,0.797091806,,,
1/11/2017,0.897649934,1.31587324,1.074751955,1.074145622,0.490060834,0.90828414,0.667162855,0.666556522,,,
1/18/2017,1.319004913,1.108327423,1.297137504,1.051156153,0.911415813,0.700738323,0.889548404,0.643567053,,,
1/25/2017,0.507925283,0.913465098,1.114669169,1.040336031,0.100336183,0.505875998,0.707080069,0.632746931,,,
2/1/2017,0.431621166,0.469773224,0.789050324,0.873893446,0.024032066,0.062184124,0.381461224,0.466304346,,,
2/8/2017,0.50783166,0.469726413,0.691595755,0.883173855,0.10024256,0.062137313,0.284006655,0.475584755,,,
2/15/2017,0.565510555,0.536671107,0.503222166,0.900179835,0.157921455,0.129082007,0.095633066,0.492590735,,,
2/22/2017,1.636230384,1.100870469,0.785298441,0.949983805,1.228641284,0.693281369,0.377709341,0.542394705,,,
3/1/2017,1.019827842,1.328029113,0.93235011,0.860700217,0.612238742,0.920440013,0.52476101,0.453111117,,,
3/8/2017,0.519774562,0.769801202,0.935335836,0.813465796,0.112185462,0.362212102,0.527746736,0.405876696,,,
3/15/2017,1.735977537,1.12787605,1.227952581,0.865587374,1.328388437,0.72028695,0.820363481,0.457998274,,,
3/22/2017,0.260378929,0.998178233,0.883989718,0.834644079,-0.147210171,0.590589133,0.476400618,0.427054979,,,
3/29/2017,0.165186039,0.212782484,0.670329267,0.801339689,-0.242403061,-0.194806616,0.262740167,0.393750589,,,
4/5/2017,1.170738234,,,,,,,,,,
4/12/2017,-3.073075883,,,,,,,,,,
