Week,Average,Two-Week Average,One-Month Average,Two-Month Moving Average,Weekly Average Diff From Base,Two-Week Average Diff From Base,One-Month Average Diff From Base,Two-Month Average Diff From Base,PxCh,Base Sentiment,-1.1686614
4/20/2016,-0.266587825,-0.603794129,-0.458027806,-0.5274952,0.902073575,0.564867271,0.710633594,0.6411662,,,
4/27/2016,-0.670954883,-0.468771354,-0.578137994,-0.57536922,0.497706517,0.699890046,0.590523406,0.59329218,,,
5/4/2016,-0.820538232,-0.745746557,-0.674770343,-0.50377351,0.348123168,0.422914843,0.493891057,0.66488789,,,
5/11/2016,-1.596577194,-1.208557713,-0.838664533,-0.710981971,-0.427915794,-0.039896313,0.329996867,0.457679429,,,
5/18/2016,-0.23019444,-0.913385817,-0.829566187,-0.643796996,0.93846696,0.255275583,0.339095213,0.524864404,,,
5/25/2016,-1.806341316,-1.018267878,-1.113412795,-0.845775395,-0.637679916,0.150393522,0.055248605,0.322886005,,,
6/1/2016,-2.572574859,-2.189458087,-1.551421952,-1.113096148,-1.403913459,-1.020796687,-0.382760552,0.055565252,,,
6/8/2016,-1.75321263,-2.162893745,-1.590580811,-1.214622672,-0.58455123,-0.994232345,-0.421919411,-0.045961272,,,
6/15/2016,-1.626397579,-1.689805105,-1.939631596,-1.384598892,-0.457736179,-0.521143705,-0.770970196,-0.215937492,,,
6/22/2016,-0.223385657,-0.924891618,-1.543892681,-1.328652738,0.945275743,0.243769782,-0.375231281,-0.159991338,,,
6/29/2016,-0.774112284,-0.49874897,-1.094277037,-1.322849495,0.394549116,0.66991243,0.074384363,-0.154188095,,,
7/6/2016,-1.776398202,-1.275255243,-1.10007343,-1.345327121,-0.607736802,-0.106593843,0.06858797,-0.176665721,,,
7/13/2016,-1.258921677,-1.51765994,-1.008204455,-1.473918025,-0.090260277,-0.34899854,0.160456945,-0.305256625,,,
7/20/2016,-2.898579911,-2.078750794,-1.677003019,-1.61044785,-1.729918511,-0.910089394,-0.508341619,-0.44178645,,,
7/27/2016,-0.368063006,-1.633321459,-1.575490699,-1.334883868,0.800598394,-0.464660059,-0.406829299,-0.166222468,,,
8/3/2016,-0.160025963,-0.264044485,-1.171397639,-1.135735535,1.008635437,0.904616915,-0.002736239,0.032925865,,,
8/10/2016,-1.760896826,-0.960461395,-1.296891427,-1.152547941,-0.592235426,0.208200005,-0.128230027,0.016113459,,,
8/17/2016,-2.805536297,-2.283216562,-1.273630523,-1.475316771,-1.636874897,-1.114555162,-0.104969123,-0.306655371,,,
8/24/2016,-1.394798546,-2.100167422,-1.530314408,-1.552902554,-0.226137146,-0.931506022,-0.361653008,-0.384241154,,,
8/31/2016,-0.821262264,-1.108030405,-1.695623483,-1.433510561,0.347399136,0.060630995,-0.526962083,-0.264849161,,,
9/7/2016,-0.448275526,-0.634768895,-1.367468158,-1.332179792,0.720385874,0.533892505,-0.198806758,-0.163518392,,,
9/14/2016,-0.44583992,-0.447057723,-0.777544064,-1.025587294,0.72282148,0.721603677,0.391117336,0.143074106,,,
9/21/2016,-0.851015797,-0.648427859,-0.641598377,-1.085956392,0.317645603,0.520233541,0.527063023,0.082705008,,,
9/28/2016,-1.293185497,-1.072100647,-0.759579185,-1.227601334,-0.124524097,0.096560753,0.409082215,-0.058939934,,,
