Week,Average,Company
10/4/2016,-6.578947368,apple
10/25/2016,-1.74354736,apple
11/10/2016,-1.571217244,apple
11/19/2016,-0.714593747,apple
11/29/2016,0.204261731,apple
12/20/2016,-3.291023252,apple
1/17/2017,-0.535842924,apple
1/26/2017,-1.184791143,apple
2/6/2017,-3.888358439,apple
2/13/2017,0.144101133,apple
2/20/2017,-0.892125854,apple
3/3/2017,-6.847798162,apple
3/13/2017,-2.051282051,apple
3/27/2017,-1.51031458,apple
4/3/2017,-2.704958471,apple
4/11/2017,-0.840296755,apple
2/18/2015,-3.971158832,facebook
2/25/2015,-3.182530339,facebook
3/4/2015,-3.598045687,facebook
3/11/2015,-4.034510847,facebook
3/18/2015,-4.517247205,facebook
3/25/2015,-2.46079152,facebook
4/1/2015,-5.495268329,facebook
4/8/2015,-4.888348087,facebook
4/15/2015,-3.048646104,facebook
4/22/2015,-4.586554827,facebook
4/29/2015,-3.378949435,facebook
5/6/2015,-3.931969575,facebook
5/13/2015,-3.667495967,facebook
5/20/2015,-3.856477598,facebook
5/27/2015,-4.771593801,facebook
6/3/2015,-4.456119915,facebook
6/10/2015,-3.02003769,facebook
6/17/2015,-3.67524506,facebook
6/24/2015,-1.287669652,facebook
7/1/2015,-1.587572055,facebook
7/8/2015,-3.968526547,facebook
7/15/2015,-3.526031497,facebook
7/22/2015,-3.373315307,facebook
7/29/2015,-3.507256731,facebook
8/5/2015,-3.197399934,facebook
8/12/2015,-4.356132148,facebook
8/19/2015,-3.549943727,facebook
8/26/2015,-5.435776061,facebook
9/2/2015,-3.921227963,facebook
9/9/2015,-4.842871649,facebook
9/16/2015,-3.994422778,facebook
9/23/2015,-3.754470245,facebook
9/30/2015,-3.281827415,facebook
10/7/2015,-2.910198796,facebook
10/14/2015,-6.20632864,facebook
10/23/2015,-3.963028648,facebook
10/30/2015,-2.375859075,facebook
11/6/2015,-4.739479398,facebook
11/13/2015,-3.606600453,facebook
11/20/2015,-5.45007233,facebook
11/27/2015,-4.336235936,facebook
12/4/2015,-3.336584188,facebook
12/11/2015,-5.114522639,facebook
12/18/2015,-3.672665013,facebook
12/25/2015,-2.404305855,facebook
1/1/2016,-2.867220477,facebook
1/8/2016,-2.886988722,facebook
1/15/2016,-4.610610239,facebook
1/22/2016,-2.860809034,facebook
1/29/2016,-2.65343982,facebook
2/5/2016,-1.321530763,facebook
2/12/2016,-2.244519561,facebook
2/19/2016,-2.565302437,facebook
2/26/2016,-2.283569356,facebook
3/4/2016,-3.724299634,facebook
3/11/2016,-2.632848845,facebook
3/18/2016,-3.312115,facebook
3/25/2016,-3.514806584,facebook
4/1/2016,-3.382881902,facebook
4/8/2016,-2.281921716,facebook
4/15/2016,-3.719776789,facebook
4/22/2016,-3.492898032,facebook
4/29/2016,-1.402741393,facebook
5/6/2016,-3.54695677,facebook
5/13/2016,-2.740420524,facebook
5/20/2016,-3.693997418,facebook
5/27/2016,-5.589210839,facebook
6/3/2016,-3.700739045,facebook
6/10/2016,-3.191449655,facebook
6/17/2016,-5.837448679,facebook
6/24/2016,-2.908233762,facebook
7/1/2016,-4.064016985,facebook
7/8/2016,-5.551698242,facebook
7/15/2016,-4.405795977,facebook
7/22/2016,-4.464195833,facebook
7/29/2016,-4.370777392,facebook
8/5/2016,-3.435935624,facebook
8/12/2016,-4.329413071,facebook
8/19/2016,-2.797172338,facebook
8/26/2016,-3.200922125,facebook
9/2/2016,-3.900441483,facebook
9/9/2016,-3.746143052,facebook
9/16/2016,-4.785600822,facebook
9/23/2016,-3.830055586,facebook
9/30/2016,-3.52327584,facebook
10/7/2016,-3.777890605,facebook
10/14/2016,-3.52994469,facebook
10/21/2016,-2.326154847,facebook
10/28/2016,-2.885358341,facebook
11/4/2016,-5.686414516,facebook
11/11/2016,-2.192347036,facebook
11/18/2016,-2.929502319,facebook
11/25/2016,-3.007321191,facebook
12/2/2016,-4.008488423,facebook
12/9/2016,-2.275716684,facebook
12/16/2016,-3.826167456,facebook
12/23/2016,-3.28006607,facebook
12/30/2016,-7.21791898,facebook
1/6/2017,-6.264001646,facebook
1/13/2017,-3.458200356,facebook
1/20/2017,-2.366537661,facebook
1/27/2017,-3.64905684,facebook
2/3/2017,-4.219544465,facebook
2/10/2017,-3.906936389,facebook
2/17/2017,-1.947121596,facebook
2/24/2017,-4.116490976,facebook
3/3/2017,-4.753190747,facebook
3/10/2017,-5.116587976,facebook
3/17/2017,-3.454143944,facebook
3/24/2017,-4.434387987,facebook
3/31/2017,-5.760709333,facebook
4/7/2017,-4.074103271,facebook
4/14/2017,-5.504265674,facebook
2/18/2015,-1.609870247,google
2/25/2015,-1.973280035,google
3/4/2015,-2.553117544,google
3/11/2015,-2.729088473,google
3/18/2015,-1.491883769,google
3/25/2015,-1.784421759,google
4/1/2015,-3.268626719,google
4/8/2015,0.110160155,google
4/15/2015,-2.768719389,google
4/22/2015,-1.820540433,google
4/29/2015,-2.891664374,google
5/6/2015,-0.986822357,google
5/13/2015,-2.497257021,google
5/20/2015,-3.311441634,google
5/27/2015,-2.268764052,google
6/3/2015,-2.471842556,google
6/10/2015,-2.104369081,google
6/17/2015,-5.091584054,google
6/24/2015,-1.655752027,google
7/1/2015,-3.730100427,google
7/8/2015,-1.947059107,google
7/15/2015,-3.055224353,google
7/22/2015,-2.317837047,google
7/29/2015,-1.879871817,google
8/5/2015,-2.145245635,google
8/12/2015,-1.924596854,google
8/19/2015,-1.811165585,google
8/26/2015,-3.009717784,google
