org_abbrev,earnings_period,org_keyword1,org_keyword2,doc_id,start_date,end_date
TWTR,Q416,twitter,,twitter,1/26/17,2/9/17
TWTR,Q316,twitter,,twitter,10/13/16,10/27/16
TWTR,Q216,twitter,,twitter,7/12/16,7/26/16
TWTR,Q116,twitter,,twitter,4/12/16,4/26/16
TWTR,Q415,twitter,,twitter,1/27/16,2/10/16
TWTR,Q315,twitter,,twitter,10/13/15,10/27/15
TWTR,Q215,twitter,,twitter,7/14/15,7/28/15
TWTR,Q115,twitter,,twitter,4/14/15,4/28/15
TWTR,Q414,twitter,,twitter,1/22/15,2/5/15
TWTR,Q314,twitter,,twitter,10/13/14,10/27/14
TWTR,Q214,twitter,,twitter,7/15/14,7/29/14
TWTR,Q114,twitter,,twitter,4/15/14,4/29/14
TWTR,Q413,twitter,,twitter,1/22/14,2/5/14
TWTR,Q313,twitter,,twitter,10/1/13,10/15/13
TWTR,Q213,twitter,,twitter,9/19/13,10/3/13
TWTR,Q113,twitter,,twitter,9/19/13,10/3/13
,,,,,,
FB,Q416,facebook,,facebook,1/18/17,2/1/17
FB,Q316,facebook,,facebook,10/19/16,11/2/16
FB,Q216,facebook,,facebook,7/13/16,7/27/16
FB,Q116,facebook,,facebook,4/13/16,4/27/16
FB,Q415,facebook,,facebook,1/13/16,1/27/16
FB,Q315,facebook,,facebook,10/21/15,11/4/15
FB,Q215,facebook,,facebook,7/15/15,7/29/15
FB,Q115,facebook,,facebook,4/8/15,4/22/15
FB,Q414,facebook,,facebook,1/14/15,1/28/15
FB,Q314,facebook,,facebook,10/14/14,10/28/14
FB,Q214,facebook,,facebook,7/9/14,7/23/14
FB,Q114,facebook,,facebook,4/9/14,4/23/14
FB,Q413,facebook,,facebook,1/15/14,1/29/14
FB,Q313,facebook,,facebook,10/16/13,10/30/13
FB,Q213,facebook,,facebook,7/10/13,7/24/13
FB,Q113,facebook,,facebook,4/17/13,5/1/13
FB,Q412,facebook,,facebook,1/16/13,1/30/13
FB,Q312,facebook,,facebook,10/9/12,10/23/12
FB,Q212,facebook,,facebook,7/12/12,7/26/12
FB,Q112,facebook,,facebook,4/9/12,4/23/12
FB,Q411,facebook,,facebook,1/18/12,2/1/12
FB,Q311,facebook,,facebook,1/18/12,2/1/12
FB,Q211,facebook,,facebook,1/18/12,2/1/12
FB,Q111,facebook,,facebook,1/18/12,2/1/12
,,,,,,
AMD,Q416,amd inc,advanced micro devices,,1/17/17,1/31/17
AMD,Q316,amd inc,advanced micro devices,,10/6/16,10/20/16
AMD,Q216,amd inc,advanced micro devices,,7/7/16,7/21/16
AMD,Q116,amd inc,advanced micro devices,,4/7/16,4/21/16
AMD,Q415,amd inc,advanced micro devices,,1/5/16,1/19/16
AMD,Q315,amd inc,advanced micro devices,,10/1/15,10/15/15
AMD,Q215,amd inc,advanced micro devices,,7/2/15,7/16/15
AMD,Q115,amd inc,advanced micro devices,,4/2/15,4/16/15
AMD,Q414,amd inc,advanced micro devices,,1/6/15,1/20/15
AMD,Q314,amd inc,advanced micro devices,,10/2/14,10/16/14
AMD,Q214,amd inc,advanced micro devices,,7/3/14,7/17/14
AMD,Q114,amd inc,advanced micro devices,,4/3/14,4/17/14
AMD,Q413,amd inc,advanced micro devices,,1/7/14,1/21/14
AMD,Q313,amd inc,advanced micro devices,,10/3/13,10/17/13
AMD,Q213,amd inc,advanced micro devices,,7/4/13,7/18/13
AMD,Q113,amd inc,advanced micro devices,,4/4/13,4/18/13
AMD,Q412,amd inc,advanced micro devices,,1/8/13,1/22/13
AMD,Q312,amd inc,advanced micro devices,,10/4/12,10/18/12
AMD,Q212,amd inc,advanced micro devices,,7/5/12,7/19/12
AMD,Q112,amd inc,advanced micro devices,,4/5/12,4/19/12
AMD,Q411,amd inc,advanced micro devices,,1/10/12,1/24/12
AMD,Q311,amd inc,advanced micro devices,,10/13/11,10/27/11
AMD,Q211,amd inc,advanced micro devices,,7/7/11,7/21/11
AMD,Q111,amd inc,advanced micro devices,,4/7/11,4/21/11
AMD,Q410,amd inc,advanced micro devices,,1/6/11,1/20/11
,,,,,,
NFLX,Q416,netflix,,netflix,1/4/17,1/18/17
NFLX,Q316,netflix,,netflix,10/3/16,10/17/16
NFLX,Q216,netflix,,netflix,7/4/16,7/18/16
NFLX,Q116,netflix,,netflix,4/4/16,4/18/16
NFLX,Q415,netflix,,netflix,1/5/16,1/19/16
NFLX,Q315,netflix,,netflix,9/30/15,10/14/15
NFLX,Q215,netflix,,netflix,7/1/15,7/15/15
NFLX,Q115,netflix,,netflix,4/1/15,4/15/15
NFLX,Q414,netflix,,netflix,1/6/15,1/20/15
NFLX,Q314,netflix,,netflix,10/1/14,10/15/14
NFLX,Q214,netflix,,netflix,7/7/14,7/21/14
NFLX,Q114,netflix,,netflix,4/7/14,4/21/14
NFLX,Q413,netflix,,netflix,1/8/14,1/22/14
NFLX,Q313,netflix,,netflix,10/7/13,10/21/13
NFLX,Q213,netflix,,netflix,7/8/13,7/22/13
NFLX,Q113,netflix,,netflix,4/8/13,4/22/13
NFLX,Q412,netflix,,netflix,1/9/13,1/23/13
NFLX,Q312,netflix,,netflix,10/9/12,10/23/12
NFLX,Q212,netflix,,netflix,7/10/12,7/24/12
NFLX,Q112,netflix,,netflix,4/9/12,4/23/12
NFLX,Q411,netflix,,netflix,1/11/12,1/25/12
NFLX,Q311,netflix,,netflix,10/10/11,10/24/11
NFLX,Q211,netflix,,netflix,7/11/11,7/25/11
NFLX,Q111,netflix,,netflix,4/11/11,4/25/11
NFLX,Q410,netflix,,netflix,1/12/11,1/26/11
,,,,,,
HP,Q117,hewlett-packard,,,2/9/17,2/23/17
HP,Q416,hewlett-packard,,,11/8/16,11/22/16
HP,Q316,hewlett-packard,,,8/24/16,9/7/16
HP,Q216,hewlett-packard,,,5/10/16,5/24/16
HP,Q116,hewlett-packard,,,2/18/16,3/3/16
HP,Q415,hewlett-packard,,,12/3/15,12/17/15
HP,Q315,hewlett-packard,,,9/23/15,10/7/15
,,,,,,
DELL,Q214,dell,,,8/1/13,8/15/13
DELL,Q114,dell,,,5/2/13,5/16/13
DELL,Q413,dell,,,2/5/13,2/19/13
DELL,Q313,dell,,,11/1/12,11/15/12
DELL,Q213,dell,,,8/7/12,8/21/12
DELL,Q113,dell,,,5/8/12,5/22/12
DELL,Q412,dell,,,2/7/12,2/21/12
DELL,Q312,dell,,,11/1/11,11/15/11
DELL,Q212,dell,,,8/2/11,8/16/11
DELL,Q112,dell,,,5/3/11,5/17/11
DELL,Q411,dell,,,2/1/11,2/15/11
