sourcecommonname,documentidentifier,themes,v2tone,persons,v2persons,organizations,v2organizations
setexasrecord.com,http://setexasrecord.com/stories/511017834-dr-pepper-snapple-group-seeks-leave-in-collision-suit,EPU_ECONOMY_HISTORIC;WB_135_TRANSPORT;MANMADE_DISASTER_IMPLIED;TAX_FNCACT;TAX_FNCACT_MAN;WOUND;CRISISLEX_CRISISLEXREC;CRISISLEX_C03_WELLBEING_HEALTH;CRISISLEX_T02_INJURED;TAX_FNCACT_DRIVERS;GENERAL_HEALTH;MEDICAL;TAX_ECON_PRICE;TRIAL;WB_2745_JOB_QUALITY_AND_LABOR_MARKET_PERFORMANCE;WB_2670_JOBS;WB_2689_JOBS_DIAGNOSTICS;WB_2748_EMPLOYMENT;TAX_FNCACT_DRIVER;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION;WB_635_PUBLIC_HEALTH;WB_1464_HEALTH_OF_THE_DISABLED;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_856_WAGES;WB_1654_ACTIVE_LABOR_MARKET_POLICIES;WB_855_LABOR_MARKETS;WB_697_SOCIAL_PROTECTION_AND_LABOR;TAX_FNCACT_JUDGE;,"-4.65116279069767,2.32558139534884,6.97674418604651,9.30232558139535,29.4573643410853,0,233",paula crall;mitchell lowe;mehaffy webber;mehaffy weber;gary sanderson,"Paula Crall,299;Mitchell Lowe,365;Mehaffy Webber,1462;Mehaffy Weber,1378;Gary Sanderson,1400",district court;pepper snapple group;jefferson county district court,"District Court,350;District Court,1420;Pepper Snapple Group,35;Jefferson County District Court,350"
stupiddope.com,http://stupiddope.com/2016/10/16/rmc2016-nothing-but-vibes-at-the-apple-music-yacht-party/,WB_2433_CONFLICT_AND_VIOLENCE;WB_2465_REVOLUTIONARY_VIOLENCE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2462_POLITICAL_VIOLENCE_AND_WAR;EPU_ECONOMY_HISTORIC;TAX_FNCACT;TAX_FNCACT_ARTISTS;MARITIME;USPEC_POLITICS_GENERAL1;,"2.65957446808511,3.72340425531915,1.06382978723404,4.78723404255319,19.6808510638298,0,166",,,apple music yacht party;eden roc miami beach hotel,"Apple Music Yacht Party,496"
elheraldo.hn,http://www.elheraldo.hn/suplementos/tecnologia/1007615-466/apple-y-samsung-protagonizaron-nuevo-duelo-ante-la-suprema-corte-de-ee,WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_845_LEGAL_AND_REGULATORY_FRAMEWORK;WB_851_INTELLECTUAL_PROPERTY_RIGHTS;WB_1041_PATENTS;WB_1039_PROPERTY_LAWS_AND_REGULATIONS;EPU_CATS_REGULATION;TAX_FNCACT;TAX_FNCACT_MANUFACTURER;UNGP_CRIME_VIOLENCE;ARMEDCONFLICT;TAX_ETHNICITY;TAX_ETHNICITY_KOREAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_KOREAN;SCIENCE;SOC_INNOVATION;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_376_INNOVATION_TECHNOLOGY_AND_ENTREPRENEURSHIP;WB_1917_INTELLECTUAL_PROPERTY;WB_377_FIRM_INNOVATION_PRODUCTIVITY_AND_GROWTH;DELAY;USPEC_UNCERTAINTY1;CRISISLEX_C04_LOGISTICS_TRANSPORT;EPU_ECONOMY_HISTORIC;TAX_FNCACT_SUPPORTERS;MEDIA_SOCIAL;EDUCATION;LEGISLATION;EPU_POLICY;EPU_POLICY_LAW;PROPERTY_RIGHTS;WB_1907_PERSONAL_PROPERTY_RIGHTS;TAX_FNCACT_SPECIALIST;TRIAL;TAX_FNCACT_LAWYER;CRISISLEX_CRISISLEXREC;TAX_FNCACT_JUDGES;,"0.961538461538462,4.80769230769231,3.84615384615385,8.65384615384615,18.75,0.641025641025641,583",cfca afp;seth waxman;matthew siegal;kathleen sullivan,"Cfca Afp,292;Seth Waxman,3134;Matthew Siegal,2631;Kathleen Sullivan,3019",google;samsung;supreme court;technology apple;facebook;united states,"Google,2339;Samsung,16;Samsung,95;Samsung,216;Samsung,349;Samsung,943;Samsung,1343;Samsung,1595;Samsung,2079;Samsung,2265;Samsung,2826;Samsung,3042;Samsung,3164;Supreme Court,60;Supreme Court,135;Supreme Court,395;Supreme Court,1060;Supreme Court,1142;Supreme Court,2255;Technology Apple,85;Facebook,2350;United States,328;United States,427"
updatesnews.com,http://updatesnews.com/supreme-court-presses-apple-and-samsung-on-the-value-of-design/,WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_2433_CONFLICT_AND_VIOLENCE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2462_POLITICAL_VIOLENCE_AND_WAR;TRIAL;WB_845_LEGAL_AND_REGULATORY_FRAMEWORK;WB_851_INTELLECTUAL_PROPERTY_RIGHTS;WB_1041_PATENTS;WB_1039_PROPERTY_LAWS_AND_REGULATIONS;ECON_WORLDCURRENCIES;ECON_WORLDCURRENCIES_DOLLAR;LEGISLATION;EPU_POLICY;EPU_POLICY_LAW;EPU_CATS_REGULATION;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_346_COMPETITIVE_INDUSTRIES;WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS;WB_1281_MANUFACTURING;TAX_FNCACT;TAX_FNCACT_CHIEF;TAX_FNCACT_CHIEF_JUSTICE;TAX_FNCACT_ATTORNEY;USPEC_POLITICS_GENERAL1;TAX_FNCACT_LAWYER;GENERAL_GOVERNMENT;EPU_POLICY_GOVERNMENT;UNGP_FORESTS_RIVERS_OCEANS;EPU_ECONOMY_HISTORIC;MEDIA_SOCIAL;TAX_FNCACT_SUPPORTERS;TAX_FNCACT_OFFICIALS;TAX_FNCACT_EXECUTIVE;USPEC_POLICY1;EPU_CATS_TAXES;TAX_FNCACT_MANUFACTURER;DISASTER_FIRE;WB_165_AIR_TRANSPORT;WB_135_TRANSPORT;WB_164_MODES_OF_TRANSPORT;SOC_USSECURITYAGENCIES;CRISISLEX_CRISISLEXREC;CRISISLEX_T03_DEAD;LEADER;TAX_FNCACT_PRESIDENT;TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_REPUBLICANS;,"-0.34965034965035,3.32167832167832,3.67132867132867,6.99300699300699,25.1748251748252,0.0874125874125874,1088",donald trump;justice john roberts;justice anthony kennedy;justice ruth bader ginsburg;calvin klein;justice stephen breyer;hillary clinton;justice sonia sotomayor;alexander wang;justice clarence thomas,"Donald Trump,6579;Justice John Roberts,1950;Justice Anthony Kennedy,2709;Justice Ruth Bader Ginsburg,3173;Calvin Klein,5485;Justice Stephen Breyer,4361;Hillary Clinton,6564;Justice Sonia Sotomayor,2987;Alexander Wang,5502;Justice Clarence Thomas,4510",google;senate republicans;us department of justice;supreme court;samsung;european union;aviation administration;facebook;supreme court presses apple and samsung,"Google,4129;Senate Republicans,6491;Us Department Of Justice,3349;Supreme Court,13;Supreme Court,84;Supreme Court,1080;Supreme Court,1137;Supreme Court,6283;Samsung,37;Samsung,112;Samsung,347;Samsung,455;Samsung,575;Samsung,677;Samsung,915;Samsung,1042;Samsung,1101;Samsung,2258;Samsung,2274;Samsung,2397;Samsung,2858;Samsung,3187;Samsung,4165;Samsung,4807;Samsung,5164;Samsung,5632;Samsung,5880;Samsung,6173;European Union,5791;Aviation Administration,6072;Facebook,4120"
malaysiandigest.com,http://malaysiandigest.com/technology/636732-apple-to-set-up-r-d-center-in-shenzhen-bolster-china-ties.html,WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_346_COMPETITIVE_INDUSTRIES;WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS;WB_1281_MANUFACTURING;URBAN;USPEC_POLICY1;EPU_ECONOMY;EPU_ECONOMY_HISTORIC;TAX_FNCACT;TAX_FNCACT_CHIEF;TAX_FNCACT_EXECUTIVE;TAX_FNCACT_CHIEF_EXECUTIVE;TAX_FNCACT_COOK;TAX_FNCACT_OFFICIALS;TAX_ETHNICITY;TAX_ETHNICITY_CHINESE;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_CHINESE;SCIENCE;SOC_INNOVATION;TAX_FNCACT_SPOKESMAN;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITIES;UNGP_FORESTS_RIVERS_OCEANS;,"3.0188679245283,3.77358490566038,0.754716981132076,4.52830188679245,21.1320754716981,1.50943396226415,247",josh rosenstock;terry gou;august cook;tim cook,"Josh Rosenstock,963;Terry Gou,1420;August Cook,1524;Tim Cook,545",apple inc,"Apple Inc,35"
thejakartapost.com,http://www.thejakartapost.com/life/2016/10/12/apple-establishes-2nd-rd-center-in-china.html,TAX_FNCACT;TAX_FNCACT_CEO;TAX_FNCACT_COOK;TAX_ETHNICITY;TAX_ETHNICITY_CHINESE;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_CHINESE;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_346_COMPETITIVE_INDUSTRIES;WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS;WB_1281_MANUFACTURING;SCIENCE;SOC_INNOVATION;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITIES;WB_2670_JOBS;WB_1467_EDUCATION_FOR_ALL;WB_470_EDUCATION;WB_2131_EMPLOYABILITY_SKILLS_AND_JOBS;WB_1484_EDUCATION_SKILLS_DEVELOPMENT_AND_LABOR_MARKET;USPEC_POLICY1;EPU_ECONOMY;EPU_ECONOMY_HISTORIC;ECON_ENTREPRENEURSHIP;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;GOV_LOCALGOV;WB_2142_LOCAL_GOVERNMENT;WB_1502_EDUCATIONAL_DECENTRALIZATION;WB_1497_EDUCATION_MANAGEMENT_AND_ADMINISTRATION;TAX_FNCACT_OFFICIAL;ECON_WORLDCURRENCIES;ECON_WORLDCURRENCIES_YUAN;TAX_FNCACT_EMPLOYEES;,"2.69360269360269,3.36700336700337,0.673400673400673,4.04040404040404,21.8855218855219,2.02020202020202,283",li keqiang;tim cook,"Li Keqiang,1322;Tim Cook,403;Tim Cook,1198",york ap mark lennihan apple inc;china daily,"York Ap Mark Lennihan Apple Inc,158;China Daily,579"
etfdailynews.com,http://etfdailynews.com/2016/10/16/samsungs-debacle-could-turn-the-tide-for-apples-smartphone-market-share/,TAX_FNCACT;TAX_FNCACT_ANALYST;MEDIA_MSM;DISASTER_FIRE;CRISISLEX_CRISISLEXREC;ECON_EMERGINGECON;ECON_MIDDLECLASS;WB_695_POVERTY;WB_1153_MIDDLE_CLASS;WB_1152_ECONOMIC_AND_SOCIAL_MOBILITY;WB_707_POVERTY_MEASUREMENT_AND_ANALYSIS;EPU_ECONOMY_HISTORIC;TAX_FNCACT_DRIVER;WB_471_ECONOMIC_GROWTH;WB_1078_DETERMINANTS_OF_GROWTH;UNGP_FORESTS_RIVERS_OCEANS;,"1.51975683890578,3.19148936170213,1.67173252279635,4.86322188449848,23.7082066869301,0.759878419452888,606",bob ciura,"Bob Ciura,107",samsung;wyatt research;apple inc;nasdaq,"Samsung,7;Samsung,143;Samsung,260;Samsung,308;Samsung,346;Samsung,389;Samsung,508;Samsung,606;Samsung,655;Samsung,785;Samsung,842;Samsung,1013;Samsung,1026;Samsung,1077;Samsung,1146;Samsung,1276;Samsung,1430;Samsung,1721;Samsung,1737;Samsung,1957;Samsung,2304;Wyatt Research,3424;Apple Inc,939;Nasdaq,947"
fox40.com,http://fox40.com/2016/10/15/weekend-storm-slows-down-business-in-apple-hill/,EPU_ECONOMY_HISTORIC;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_CATS;TAX_WORLDMAMMALS_DOGS;MANMADE_DISASTER_IMPLIED;CRISISLEX_T01_CAUTION_ADVICE;,"-0.909090909090909,3.18181818181818,4.09090909090909,7.27272727272727,31.3636363636364,1.36363636363636,205",kristie carruthers;christa campbell,"Kristie Carruthers,506;Christa Campbell,821",apple hill growers association,"Apple Hill Growers Association,201"
ndtv.com,http://gadgets.ndtv.com/laptops/news/apple-said-to-refresh-mac-lineup-at-october-27-event-heres-what-you-can-expect-1476115,WATER_SECURITY;NATURAL_DISASTER;NATURAL_DISASTER_DROUGHT;UNGP_FORESTS_RIVERS_OCEANS;GEN_HOLIDAY;WB_2433_CONFLICT_AND_VIOLENCE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2936_GOLD;WB_507_ENERGY_AND_EXTRACTIVES;WB_895_MINING_SYSTEMS;WB_1699_METAL_ORE_MINING;EPU_ECONOMY_HISTORIC;TAX_FNCACT;TAX_FNCACT_ANALYSTS;TAX_FNCACT_ANALYST;TAX_FNCACT_SPOKESMAN;ACT_MAKESTATEMENT;TAX_FNCACT_EDITORS;WB_135_TRANSPORT;WB_1803_TRANSPORT_INFRASTRUCTURE;WB_167_PORTS;,"0.94876660341556,2.08728652751423,1.13851992409867,3.2258064516129,22.5806451612903,0,481",neil cybart,"Neil Cybart,1335",nvidia;apple inc,"Nvidia,2827;Nvidia,2891;Nvidia,2982;Apple Inc,9"
smartstocknews.com,http://smartstocknews.com/76279-apple-aapl-iphone-7-blows-away-its-competition/,TAX_FNCACT;TAX_FNCACT_ENGINEERS;EPU_ECONOMY_HISTORIC;MEDIA_SOCIAL;,"1.04712041884817,2.87958115183246,1.83246073298429,4.71204188481675,17.8010471204188,0.785340314136126,344",,,william blair facebook inc;ad campaign;apple inc;gilead sciences inc;nasdaq,"Ad Campaign,2226;Apple Inc,161;Nasdaq,169"
ukrainianwall.com,http://ukrainianwall.com/tech/apple-rasshiryaet-svoe-prisutstvie-v-kitae/,TAX_FNCACT;TAX_FNCACT_AUTHORITIES;CRISISLEX_CRISISLEXREC;EPU_POLICY;EPU_POLICY_AUTHORITIES;TAX_ETHNICITY;TAX_ETHNICITY_CHINESE;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_CHINESE;TAX_FNCACT_EMPLOYEES;MANMADE_DISASTER_IMPLIED;EPU_ECONOMY_HISTORIC;WB_698_TRADE;ECON_FREETRADE;UNGP_FORESTS_RIVERS_OCEANS;CRISISLEX_T03_DEAD;TAX_ETHNICITY_RUSSIAN;TAX_WORLDLANGUAGES_RUSSIAN;CRISISLEX_C07_SAFETY;SECURITY_SERVICES;ARMEDCONFLICT;WB_2468_CONVENTIONAL_WAR;WB_2433_CONFLICT_AND_VIOLENCE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2462_POLITICAL_VIOLENCE_AND_WAR;TAX_FNCACT_TROOPS;MEDIA_MSM;TAX_ETHNICITY_ARAB;TERROR;KILL;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICERS;TAX_FNCACT_OFFICERS;TAX_FNCACT_MILITARY_OFFICERS;TAX_ETHNICITY_IRANIAN;REBELS;WB_2451_REBELS_GUERRILLAS_AND_INSURGENTS;WB_2445_NON_STATE_SECURITY_ACTORS;LEADER;TAX_FNCACT_PRESIDENT;USPEC_POLITICS_GENERAL1;RESIGNATION;ALLIANCE;TAX_ETHNICITY_ARMENIAN;TAX_WORLDLANGUAGES_ARMENIAN;SELF_IDENTIFIED_ATROCITY;WB_2507_HUMAN_RIGHTS_ABUSES_AND_VIOLATIONS;WB_2203_HUMAN_RIGHTS;WB_2509_GENOCIDE;,"-3.40715502555366,1.53321976149915,4.94037478705281,6.47359454855196,18.3986371379898,0.340715502555366,534",,,apple centers;city centre;defense ministry,"Apple Centers,1274;City Centre,368;Defense Ministry,2123;Defense Ministry,2245;Defense Ministry,2317"
nasdaq.com,http://www.nasdaq.com/article/supreme-court-hears-samsung-apple-patent-suit--wsj-20161012-00039,WB_845_LEGAL_AND_REGULATORY_FRAMEWORK;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_851_INTELLECTUAL_PROPERTY_RIGHTS;WB_1041_PATENTS;WB_1039_PROPERTY_LAWS_AND_REGULATIONS;EPU_CATS_REGULATION;EPU_ECONOMY_HISTORIC;ARMEDCONFLICT;TAX_ETHNICITY;TAX_ETHNICITY_KOREAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_KOREAN;WB_840_JUSTICE;WB_2048_COMPENSATION_CAREERS_AND_INCENTIVES;WB_723_PUBLIC_ADMINISTRATION;WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR;TRIAL;TAX_FNCACT;TAX_FNCACT_LAWYER;CRISISLEX_CRISISLEXREC;USPEC_UNCERTAINTY1;TAX_FNCACT_JUDGES;USPEC_POLICY1;EPU_UNCERTAINTY;SCIENCE;GENERAL_GOVERNMENT;USPEC_POLITICS_GENERAL1;EPU_POLICY;EPU_POLICY_CONGRESS;LEGISLATION;EPU_POLICY_LAW;,"-0.632911392405064,3.92405063291139,4.55696202531646,8.48101265822785,27.2151898734177,0.506329113924051,726",seth waxman;brian fletcher;justice anthony kennedy;justice stephen breyer;kathleen sullivan,"Seth Waxman,2190;Brian Fletcher,4222;Justice Anthony Kennedy,1501;Justice Stephen Breyer,3049;Kathleen Sullivan,1914",samsung electronics co;justice department;supreme court;samsung;dow jones company inc;apple inc;supreme court hears samsung;supreme court on,"Samsung Electronics Co,344;Justice Department,4200;Supreme Court,14;Supreme Court,232;Supreme Court,3174;Supreme Court,3506;Supreme Court,4007;Supreme Court,4482;Samsung,28;Samsung,112;Samsung,329;Samsung,519;Samsung,686;Samsung,1255;Samsung,1561;Samsung,1889;Samsung,2225;Samsung,2525;Samsung,3415;Samsung,4419;Apple Inc,318;Supreme Court Hears Samsung,28;Supreme Court On,235"
dailypolitical.com,http://www.dailypolitical.com/2016/10/18/sumitomo-mitsui-asset-management-company-ltd-boosts-position-in-dr-pepper-snapple-group-inc-dps.html,WB_439_MACROECONOMIC_AND_STRUCTURAL_POLICIES;WB_829_FISCAL_DECENTRALIZATION;WB_874_LOCAL_FINANCE;WB_877_ASSET_MANAGEMENT;WB_445_FISCAL_POLICY;EPU_CATS_REGULATION;EPU_CATS_FINANCIAL_REGULATION;WB_698_TRADE;EPU_ECONOMY_HISTORIC;TAX_FNCACT;TAX_FNCACT_ANALYSTS;TAX_ECON_PRICE;TAX_FNCACT_INSIDER;TAX_FNCACT_INSIDERS;TAX_FNCACT_MANUFACTURER;TAX_FNCACT_DISTRIBUTOR;CORRUPTION;TAX_FNCACT_ANALYST;,"1.64835164835165,1.73992673992674,0.0915750915750916,1.83150183150183,23.0769230769231,0,999",david thomas;martin m ellen,"David Thomas,4226",huntington national bank;goldman sachs group inc;daiwa sb investments ltd;credit suisse group;zacks investment research;cypress capital management;stuart chaussee associates inc;dr pepper snapple group inc;united states;sumitomo mitsui asset management company;wells fargo co;dr pepper snapple group,"Huntington National Bank,848;Huntington National Bank,951;Goldman Sachs Group Inc,3803;Daiwa Sb Investments Ltd,1393;Daiwa Sb Investments Ltd,1497;Credit Suisse Group,3538;Zacks Investment Research,3416;Cypress Capital Management,601;Stuart Chaussee Associates Inc,1113;Stuart Chaussee Associates Inc,1225;Dr Pepper Snapple Group Inc,103;Dr Pepper Snapple Group Inc,1736;Dr Pepper Snapple Group Inc,1973;Dr Pepper Snapple Group Inc,2758;Dr Pepper Snapple Group Inc,5604;Dr Pepper Snapple Group Inc,5671;Dr Pepper Snapple Group Inc,5815;United States,5236;Sumitomo Mitsui Asset Management Company,41;Sumitomo Mitsui Asset Management Company,364;Wells Fargo Co,3229;Dr Pepper Snapple Group,99;Dr Pepper Snapple Group,414;Dr Pepper Snapple Group,659;Dr Pepper Snapple Group,776;Dr Pepper Snapple Group,896;Dr Pepper Snapple Group,1162;Dr Pepper Snapple Group,1442;Dr Pepper Snapple Group,1732;Dr Pepper Snapple Group,1969;Dr Pepper Snapple Group,2137;Dr Pepper Snapple Group,2467;Dr Pepper Snapple Group,2549;Dr Pepper Snapple Group,2754;Dr Pepper Snapple Group,3112;Dr Pepper Snapple Group,3354;Dr Pepper Snapple Group,3447;Dr Pepper Snapple Group,3594;Dr Pepper Snapple Group,3706;Dr Pepper Snapple Group,3858;Dr Pepper Snapple Group,5142;Dr Pepper Snapple Group,5600;Dr Pepper Snapple Group,5667;Dr Pepper Snapple Group,5811"
wilmingtonapple.com,https://wilmingtonapple.com/2016/10/18/state-rep-ken-gordon-receives-key-award-announces-endorsements-in-race-for-re-election/,EPU_ECONOMY_HISTORIC;TAX_FNCACT;TAX_FNCACT_REPRESENTATIVE;TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_REPUBLICAN;USPEC_POLITICS_GENERAL1;LEGISLATION;USPEC_POLICY1;EPU_POLICY;EPU_POLICY_LEGISLATION;TAX_FNCACT_EMPLOYERS;WB_2690_CATEGORIES_OF_EMPLOYMENT;WB_2670_JOBS;WB_2689_JOBS_DIAGNOSTICS;WB_2704_EMPLOYER;LEADER;TAX_FNCACT_PRESIDENT;ALLIANCE;GENERAL_GOVERNMENT;EPU_POLICY_GOVERNMENT;GOV_LOCALGOV;WB_2142_LOCAL_GOVERNMENT;WB_1502_EDUCATIONAL_DECENTRALIZATION;WB_470_EDUCATION;WB_1497_EDUCATION_MANAGEMENT_AND_ADMINISTRATION;TAX_FNCACT_LEADERS;PUBLIC_TRANSPORT;TAX_FNCACT_WORKERS;TRAFFIC;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOL;TAX_FNCACT_SELECTMEN;TAX_FNCACT_SELECTMAN;TAX_FNCACT_CONGRESSMAN;CRISISLEX_CRISISLEXREC;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_MASSACHUSETTS;UNGP_FORESTS_RIVERS_OCEANS;TAX_FNCACT_ENGINEERS;,"3.64372469635628,4.45344129554656,0.809716599190283,5.26315789473684,21.6599190283401,1.01214574898785,451",rick parker;chris hartling;mike runyan;bob hogan;paul girouard r-burlington;ken gordon d-bedford;kristin russo;seth moulton;steve nelson;mike rosenberg;tom murphy;martha simon;robert hayes;dan grattan,"Rick Parker,1440;Chris Hartling,2140;Mike Runyan,2166;Bob Hogan,2152;Paul Girouard R-Burlington,383;Ken Gordon D-Bedford,162;Ken Gordon D-Bedford,557;Kristin Russo,2009;Seth Moulton,2703;Steve Nelson,1961;Mike Rosenberg,2510;Tom Murphy,1974;Martha Simon,2024;Robert Hayes,121;Dan Grattan,2123",burlington school committee;sierra club;twitter;partners in community prosperity award;massachusetts organization of state engineers;ken gordon campaign like wilmington apple;school committee;environmental league;burlington area chamber;facebook,"Sierra Club,2836;Twitter,3095;Partners In Community Prosperity Award,617;Massachusetts Organization Of State Engineers,2890;Ken Gordon Campaign Like Wilmington Apple,3010;School Committee,1940;School Committee,2271;Environmental League,2801;Facebook,3034"
fin24.com,http://www.fin24.com/Tech/Companies/what-to-expect-as-apple-gets-for-mac-update-20161019,WATER_SECURITY;NATURAL_DISASTER;NATURAL_DISASTER_DROUGHT;UNGP_FORESTS_RIVERS_OCEANS;GEN_HOLIDAY;WB_2433_CONFLICT_AND_VIOLENCE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2936_GOLD;WB_507_ENERGY_AND_EXTRACTIVES;WB_895_MINING_SYSTEMS;WB_1699_METAL_ORE_MINING;EPU_ECONOMY_HISTORIC;TAX_FNCACT;TAX_FNCACT_ANALYSTS;TAX_FNCACT_ANALYST;TAX_FNCACT_SPOKESMAN;ACT_MAKESTATEMENT;TAX_FNCACT_EDITORS;WB_135_TRANSPORT;WB_1803_TRANSPORT_INFRASTRUCTURE;WB_167_PORTS;,"0.904159132007233,1.98915009041591,1.08499095840868,3.07414104882459,21.880650994575,0,498",neil cybart;mark gurman bloomberg,"Neil Cybart,1413;Mark Gurman Bloomberg,21",nvidia;apple inc,"Nvidia,2905;Nvidia,2969;Nvidia,3060;Apple Inc,98"
wallstreet-online.de,http://www.wallstreet-online.de/diskussion/944638-44871-44880/apple-unaufhaltsamer-aufstieg-wie-lange-noch,UNGP_FORESTS_RIVERS_OCEANS;WB_2936_GOLD;WB_507_ENERGY_AND_EXTRACTIVES;WB_895_MINING_SYSTEMS;WB_1699_METAL_ORE_MINING;ECON_STOCKMARKET;TAX_FNCACT;TAX_FNCACT_REPRESENTATIVES;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;MEDIA_MSM;MANMADE_DISASTER_IMPLIED;DELAY;TAX_ETHNICITY;TAX_ETHNICITY_GERMAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_GERMAN;WB_2670_JOBS;WB_1467_EDUCATION_FOR_ALL;WB_470_EDUCATION;WB_2131_EMPLOYABILITY_SKILLS_AND_JOBS;WB_1484_EDUCATION_SKILLS_DEVELOPMENT_AND_LABOR_MARKET;CYBER_ATTACK;TAX_FNCACT_HACKERS;TAX_ETHNICITY_AMERICANS;TAX_ETHNICITY_RUSSIANS;TAX_WORLDLANGUAGES_RUSSIANS;WHISTLEBLOWER;TAX_FNCACT_CRIMINALS;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;USPEC_POLICY1;EPU_ECONOMY;EPU_ECONOMY_HISTORIC;DISASTER_FIRE;WB_2024_ANTI_CORRUPTION_AUTHORITIES;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_2025_INVESTIGATION;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_1014_CRIMINAL_JUSTICE;CRISISLEX_CRISISLEXREC;CRISISLEX_T01_CAUTION_ADVICE;,"-0.19588638589618,1.76297747306562,1.9588638589618,3.72184133202742,17.9236043095005,0.783545543584721,862",allgemeine zeitung;ben swan,"Allgemeine Zeitung,3868;Ben Swan,872",macintosh;twitter;nasdaq;united states;new york times;netflix;dow jones;community forums nasdaq debate apple,"Macintosh,1450;Twitter,3612;Nasdaq,373;Nasdaq,515;United States,1253;New York Times,3680;Netflix,3631;Dow Jones,268;Community Forums Nasdaq Debate Apple,528"
