ï»¿Date,Close,,Open,High,Low,Volume
5/1/15,78.99,,79.24,79.76,78.11,24136358
5/4/15,78.81,,79.33,79.69,78.63,14691991
5/5/15,77.56,,78.55,78.8,77.22,22311318
5/6/15,78.1,-7.72%,77.97,78.81,77.05,28663026
5/7/15,78.42,,78,78.94,77.56,19749428
5/8/15,78.51,,79.1,79.23,78.03,19943595
5/11/15,78.01,,78.48,79.03,77.93,18874054
5/12/15,77.46,,77.87,77.89,76.79,21285310
5/13/15,78.44,,77.72,78.53,77.65,21512309
5/14/15,81.37,,78.94,81.84,78.67,49437996
5/15/15,80.42,,81.41,81.52,80.18,27069884
5/18/15,80.88,,80.33,81.38,80.23,21613674
5/19/15,80.63,,81.25,81.69,80.55,17955389
5/20/15,80.55,,80.47,81.1,79.46,23056899
5/21/15,80.48,,80.19,80.92,80.08,13402749
5/22/15,80.54,,80.35,81.31,80.25,19567937
5/26/15,79.34,,80.43,80.6,79.08,16321339
5/27/15,80.55,,79.6,80.66,79.43,14160865
5/28/15,80.14,,80.25,81.07,80,11982008
5/29/15,79.19,,79.95,80.07,78.88,16134580
6/1/15,80.29,,79.3,80.38,78.66,18119012
6/2/15,80.44,,79.76,81.35,79.56,18923300
6/3/15,82.44,,81.35,82.53,81.25,31774993
6/4/15,82.05,,82.14,82.95,81.51,20863877
6/5/15,82.14,,81.87,82.46,81.51,16143093
6/8/15,80.67,,81.82,82,80.13,16915471
6/9/15,80.67,,80.6,81.19,79.32,16497538
6/10/15,82.16,,80.83,82.6,80.81,21531208
6/11/15,81.83,,82.31,82.9,81.36,18656811
6/12/15,81.53,,81.37,82.09,81.2,11417882
6/15/15,80.71,,80.55,80.93,80.07,18805087
6/16/15,81.06,,80.82,81.51,80.45,13693666
6/17/15,81.79,,81.76,82.22,81.34,18350287
6/18/15,82.9,,81.64,83.19,81.57,26782573
6/19/15,82.51,,82.83,82.98,82.12,23353194
6/22/15,84.74,,83.41,84.97,83.31,29383079
6/23/15,87.88,,84.96,87.97,84.76,50667853
6/24/15,88.86,,87.66,89.25,87.45,41370227
6/25/15,87.98,,89.26,89.4,87.84,27301967
6/26/15,88.01,,88.12,88.34,86.83,38214647
6/29/15,85.8,,86.61,87.5,85.73,35957872
6/30/15,85.76,,86.6,86.7,85.57,23233183
7/1/15,86.91,,86.77,87.95,86.49,25260045
7/2/15,87.28,,87.4,87.44,86.34,16908781
7/6/15,87.55,,86.49,88.18,86.39,24635915
7/7/15,87.22,,87.8,87.85,85.23,33059921
7/8/15,85.65,,86.29,86.75,85.44,24399340
7/9/15,85.88,,86.73,87.6,85.65,23307402
7/10/15,87.95,,87.35,88.22,86.77,23245873
7/13/15,90.1,,88.66,90.22,88.42,29976670
7/14/15,89.68,,90.46,90.8,89.65,26627849
7/15/15,89.76,,90,90.99,89.42,30886601
7/16/15,90.85,,90.28,90.86,89.77,21804086
7/17/15,94.97,,92.55,95.39,92.54,54001635
7/20/15,97.91,,95.85,98.6,95.36,54860541
7/21/15,98.39,,98.95,99.24,97.14,39453332
7/22/15,97.04,,96.74,97.58,95.92,28299518
7/23/15,95.44,,96.96,97.45,94.81,29418833
7/24/15,96.95,,97.35,97.76,95.88,33444930
7/27/15,94.17,,96.58,96.61,93.83,38585381
7/28/15,95.29,,94.84,95.56,93.31,35235993
7/29/15,96.99,,96.32,97.28,94.74,64648320
7/30/15,95.21,-1.84%,94.91,95.81,91.8,86211323
7/31/15,94.01,,94.95,96.33,93.95,46509045
8/3/15,94.14,,93.53,95.08,92.8,29343117
8/4/15,94.06,,93.79,94.73,93.33,20136036
8/5/15,96.44,-0.57%,95.25,97.09,95.18,29813174
8/6/15,95.12,,97.18,98.74,94.42,42271318
8/7/15,94.3,,95.38,95.4,93.61,23199145
8/10/15,94.15,,95.68,95.9,93.63,21624153
8/11/15,93.62,,93.73,94.76,92.9,22491031
8/12/15,94.19,-2.89%,92.7,94.44,91.19,27120375
8/13/15,93.43,,94.05,94.73,93.35,17451768
8/14/15,94.42,,93.54,94.72,93.21,15929656
8/17/15,93.93,,94.42,94.46,93.39,18313531
8/18/15,95.17,,94.08,95.85,94.04,22278848
8/19/15,95.31,,94.63,96.1,94.16,23251271
8/20/15,90.56,,93.54,94.77,90.46,44219624
8/21/15,86.06,,87.52,89.18,85.61,62258046
8/24/15,82.09,,77.03,87.14,72,81647863
8/25/15,83,,86.95,87.67,83,51447569
8/26/15,87.19,,85.95,87.46,83.26,44492025
8/27/15,89.73,,89.1,90.06,87.19,41778567
8/28/15,91.01,,89.88,91.48,89.79,33005640
8/31/15,89.43,,90.6,91.05,88.89,32006693
9/1/15,87.23,,86.85,89.39,86.5,35798110
9/2/15,89.89,,88.81,89.89,87.63,26837970
9/3/15,88.15,,89.76,89.82,87.73,26882208
9/4/15,88.26,,87.2,88.39,86.7,27183704
9/8/15,89.53,,89.69,90.24,88.83,26848975
9/9/15,90.44,,90.78,91.98,90.17,32439033
9/10/15,91.98,,90.07,92.06,89.63,26333820
9/11/15,92.05,,91.68,92.08,91.13,21031075
9/14/15,92.31,,92.31,92.62,91.6,20103573
9/15/15,92.9,,92.37,93.25,91.79,18638271
9/16/15,93.45,,92.9,93.6,92.63,16256252
9/17/15,94.34,,93.37,95.51,92.9,27679870
9/18/15,94.4,,93.2,95.19,93.05,61898703
9/21/15,95.55,,94.62,96.49,94.52,28657457
9/22/15,92.96,,93.77,94.68,91.92,36683731
9/23/15,93.97,,93.4,94.32,92.8,21645740
9/24/15,94.41,,93.06,94.76,92.24,28943670
9/25/15,92.77,,95.79,95.85,92.06,28803183
9/28/15,89.21,,92.08,92.29,88.18,41024444
9/29/15,86.67,,89.1,90.06,85.72,41810196
9/30/15,89.9,,88.44,90.02,88.01,36030288
10/1/15,90.95,,90.05,90.95,88.36,29070207
10/2/15,92.07,,88.9,92.2,88.37,37623238
10/5/15,94.01,,92.94,94.27,92.66,26903052
10/6/15,92.8,,94.08,94.17,92.34,22172764
10/7/15,92.4,,93.11,93.66,91.37,24060338
10/8/15,92.47,,92.75,93.22,90.47,27213284
10/9/15,93.24,,92.9,93.74,92.24,19886170
10/12/15,94.26,,93.32,94.6,92.67,18371840
10/13/15,94.12,,93.66,95.37,93.55,19249995
10/14/15,94.07,,94.08,95.2,93.61,19159906
10/15/15,95.96,,94.99,96.3,94.9,27475421
10/16/15,97.54,,96.18,97.59,95.35,25304113
10/19/15,98.47,,97.18,98.57,96.92,23316834
