ï»¿Date,Close,,Open,High,Low,Volume
9/10/15,99.48,,99.42,100.85,96.78,20998283
9/11/15,97.51,,98.57,100.85,97.23,17323011
9/14/15,95.69,,96.84,97.91,94.33,15513848
9/15/15,99.16,,95.22,99.65,93.61,22299181
9/16/15,104.08,,99.7,104.48,99.33,27953817
9/17/15,104.21,,103.67,107.5,101.83,25531317
9/18/15,102.62,,102,104.36,100.71,21594438
9/21/15,100.3,,103.3,103.77,99.56,17856598
9/22/15,98.47,,98.29,99.9,97,16417870
9/23/15,98.07,,98.6,99.74,97.66,10247133
9/24/15,103.76,,97.11,104,96.78,21136676
9/25/15,102.24,,105.3,105.45,101.57,19039415
9/28/15,99.47,,101.57,103.33,97.84,16915986
9/29/15,98.35,,99.63,100.63,96.85,17116665
9/30/15,103.26,,99.91,103.46,99.05,16971310
10/1/15,105.98,,102.91,106.11,101.12,16995856
10/2/15,106.11,,103.01,106.87,101.45,21450221
10/5/15,111.25,,107.48,112.28,105.76,20836951
10/6/15,108.33,,110.33,112.25,105.64,20629792
10/7/15,108.1,,108.84,109.78,106.75,12287862
10/8/15,114.93,,107.94,115.05,102.6,42511098
10/9/15,113.33,,114.11,115.83,112.44,22191915
10/12/15,113.45,,114.45,115.42,112.36,12584853
10/13/15,109.73,,112.85,113.72,108.78,17220343
10/14/15,110.23,,111.5,111.63,108.05,27763604
10/15/15,101.09,-8.29%,103.77,104.88,99.1,47147030
10/16/15,98.99,,100.21,101.65,98.41,21251955
10/19/15,101.69,,98.07,103.62,96.26,29896014
10/20/15,98.99,,101.06,102.11,97.58,17285344
10/21/15,97.96,-11.13%,99.67,100.34,97.01,13728542
10/22/15,97.32,,98.07,99.93,96.86,12508145
10/23/15,100.04,,97.61,101.56,97.27,17952792
10/26/15,103.04,,100.05,103.31,99.38,12099611
10/27/15,103.07,,102.58,104.72,101.23,12017364
10/28/15,105.8,-4.02%,102.9,106.21,102.06,13044860
10/29/15,105.12,,105,106.91,104.75,9802651
10/30/15,108.38,,105.12,110.1,104.9,15552163
11/2/15,107.64,,109.2,109.37,106.3,11753174
11/3/15,109.74,,107.36,111.05,107.24,12460192
11/4/15,114.05,,110.36,114.28,109.39,17207499
11/5/15,113.5,,113.75,115.68,111.72,13789557
11/6/15,114.06,,113.39,114.8,112.05,10913100
11/9/15,109.86,,113.36,114,108.64,16132353
11/10/15,112.7,,108.86,112.84,108.01,11150819
11/11/15,112.86,,113.08,114.61,111.41,11021023
11/12/15,108.92,,112.52,115.25,108.2,17364015
11/13/15,103.65,,108.34,109.07,103.27,18726568
11/16/15,111.35,,102.97,111.65,101.86,19802503
11/17/15,117.1,,112.11,118.79,111.7,32936206
11/18/15,120.63,,117.94,121,116.1,23287786
11/19/15,120.22,,120.25,123.13,119.61,19088792
11/20/15,123.84,,120.85,124.07,119.21,17887887
11/23/15,125.03,,124.3,126.2,121.66,15670283
11/24/15,123.31,,123.97,124.66,120.03,18317565
11/25/15,124.16,,124.23,125.2,122.36,10980677
11/27/15,125.44,,123.85,126.39,123.59,6644280
11/30/15,123.33,,126.03,126.6,122.89,13718932
12/1/15,125.37,,124.47,125.57,122.42,12528773
12/2/15,128.93,,125.53,131.35,124.93,24053079
12/3/15,126.81,,129.62,132.2,126.39,26647260
12/4/15,130.93,,127,130.99,125.75,20250411
12/7/15,125.36,,131.65,133.27,122.75,23351610
12/8/15,126.98,,121.51,128.24,121.1,18591147
