¥éËDate,Close,,Open,High,Low,Volume
7/6/15,44.39,,43.96,44.48,43.95,23033961
7/7/15,44.3,,44.34,44.49,43.32,36435827
7/8/15,44.24,,44.44,44.9,44.03,39785901
7/9/15,44.52,,44.75,45.22,44.5,32424672
7/10/15,44.61,,45.01,45.14,44.57,25465757
7/13/15,45.54,,44.98,45.62,44.95,28178329
7/14/15,45.62,,45.45,45.96,45.31,22880260
7/15/15,45.76,,45.68,45.89,45.43,26629615
7/16/15,46.66,,46.01,46.69,45.96,26271673
7/17/15,46.62,,46.55,46.78,46.26,29467107
7/20/15,46.92,,46.65,47.13,46.44,30631905
7/21/15,47.28,,46.78,47.33,46.48,42781899
7/22/15,45.54,-3.68%,45.44,46.93,45.2,59152427
7/23/15,46.11,,45.27,46.23,45.1,33934010
7/24/15,45.94,,45.91,46.32,45.8,32333244
7/27/15,45.35,,45.94,46.01,45.25,39701420
7/28/15,45.34,-0.44%,45.58,45.64,44.79,34328948
7/29/15,46.29,,45.4,46.78,45.26,40945864
7/30/15,46.88,,46.26,47.4,45.93,39777883
7/31/15,46.7,,47.29,47.37,46.5,31201480
8/3/15,46.81,,46.98,47,46.45,24125886
8/4/15,47.54,4.39%,46.75,47.71,46.68,33403916
8/5/15,47.58,,47.98,48.41,47.54,26959655
8/6/15,46.62,,47.71,47.77,46.33,27368000
8/7/15,46.74,,46.39,46.78,46.26,19163038
8/10/15,47.33,,46.95,47.49,46.84,23079870
8/11/15,46.41,,46.82,46.94,45.9,29237402
8/12/15,46.74,,46.19,46.9,45.7,30198532
8/13/15,46.73,,47.06,47.1,46.49,22627241
8/14/15,47,,46.53,47.1,46.52,21473402
8/17/15,47.32,,46.81,47.45,46.57,21099746
8/18/15,47.27,,46.84,47.43,46.7,23574104
8/19/15,46.61,,46.78,47.08,46.3,31485511
8/20/15,45.66,,46.07,46.47,45.66,35671759
8/21/15,43.07,,45.3,45.48,43.07,68835485
8/24/15,41.68,,40.45,43.31,39.72,88049620
8/25/15,40.47,,42.56,43.24,40.39,70239286
8/26/15,42.71,,42.01,42.84,41.06,63031299
8/27/15,43.9,,43.23,43.95,42.92,50498307
8/28/15,43.93,,43.4,44.15,43.39,28104231
8/31/15,43.52,,43.56,43.93,43.1,34159135
9/1/15,41.82,,42.17,42.59,41.66,49194736
9/2/15,43.36,,42.36,43.38,41.88,37490396
9/3/15,43.5,,43.41,43.98,43.28,28053165
9/4/15,42.61,,42.81,43.04,42.2,36771788
9/8/15,43.89,,43.3,44,43.2,32204941
9/9/15,43.07,,44.21,44.4,42.91,33318847
9/10/15,43.29,,43.12,43.79,42.74,31234165
9/11/15,43.48,,43.14,43.59,42.94,26184379
9/14/15,43.04,,43.43,43.44,42.86,23633284
9/15/15,43.98,,43.19,44.29,43.08,28662129
9/16/15,44.3,,43.97,44.38,43.84,23256716
9/17/15,44.25,,44.29,45,44.08,29817918
9/18/15,43.48,,43.5,43.99,43.33,62221607
9/21/15,44.11,,43.62,44.47,43.6,26075359
9/22/15,43.9,,43.38,44.05,43.31,27824121
9/23/15,43.87,,43.93,44.17,43.51,17057235
9/24/15,43.91,,43.45,44.13,43.27,27652655
9/25/15,43.94,,44.48,44.73,43.76,29177316
9/28/15,43.29,,43.83,44.08,43.2,27219415
9/29/15,43.44,,43.37,43.57,43.05,32653952
9/30/15,44.26,,43.88,44.3,43.66,34589501
10/1/15,44.61,,44.75,44.75,43.75,28470381
10/2/15,45.57,,44.27,45.57,43.92,41571518
10/5/15,46.63,,45.74,46.89,45.7,33015524
10/6/15,46.75,,46.33,47.18,46.22,27017160
10/7/15,46.8,,47.1,47.35,45.95,27381389
10/8/15,47.45,,46.56,47.52,46.5,33679346
10/9/15,47.11,,47.45,47.54,46.92,28397372
10/12/15,47,,46.98,47.07,46.5,19734079
10/13/15,46.89,,46.56,47.13,46.56,18937148
10/14/15,46.68,,46.65,47.1,46.53,24645420
10/15/15,47.01,,47.01,47.03,46.53,27118898
10/16/15,47.51,,47.02,47.54,46.9,25779279
10/19/15,47.62,,47.42,47.88,47.02,29106758
10/20/15,47.77,,47.44,47.81,47.02,30573983
10/21/15,47.2,,47.92,47.99,47.11,25144337
10/22/15,48.03,,47.53,48.95,47.09,54435667
10/23/15,52.87,10.08%,52.3,54.07,52.25,134828496
10/26/15,54.25,,52.53,54.32,52.5,63486782
10/27/15,53.69,,53.99,54.37,53.58,48640174
10/28/15,53.98,,53.54,53.98,52.86,45353604
10/29/15,53.36,0.93%,53.54,53.83,53.22,30036258
10/30/15,52.64,,53.32,53.99,52.62,46473085
11/2/15,53.24,,52.85,53.36,52.62,29946039
11/3/15,54.15,,52.93,54.39,52.9,35842280
11/4/15,54.4,,54.18,54.88,54.06,37020378
11/5/15,54.38,2.86%,54.49,54.7,54,30648155
11/6/15,54.92,,54.08,54.98,53.96,30488633
11/9/15,54.16,,54.55,54.87,53.56,32466376
11/10/15,53.51,,54.07,54.13,53.27,55020334
11/11/15,53.65,,53.7,54.2,53.46,34004446
11/12/15,53.32,,53.48,53.98,53.19,34485469
11/13/15,52.84,,53.07,53.29,52.53,36399856
11/16/15,53.76,,53.08,53.89,52.85,31610450
11/17/15,52.97,,53.17,53.53,52.85,31211644
11/18/15,53.85,,53,53.98,52.98,28794418
11/19/15,53.94,,53.99,54.66,53.78,28131212
11/20/15,54.19,,54.25,54.3,53.26,37100507
11/23/15,54.19,,54.25,54.46,53.75,27767280
11/24/15,54.25,,53.92,54.44,53.58,24482130
11/25/15,53.69,,54.09,54.23,53.69,21005147
11/27/15,53.93,,53.8,54.08,53.79,9009113
11/30/15,54.35,,54.54,54.96,54,53885371
12/1/15,55.22,,54.41,55.23,54.3,39848647
12/2/15,55.21,,55.32,55.96,55.06,47244551
12/3/15,54.2,,55.49,55.77,53.93,38627835
12/4/15,55.91,,54.12,56.23,54.1,43963662
12/7/15,55.81,,55.79,55.97,55.29,30709765
12/8/15,55.79,,55.47,56.1,54.99,32878026
12/9/15,54.98,,54.75,55.87,54.51,36373209
12/10/15,55.27,,55.39,55.66,55.01,31775826
12/11/15,54.06,,54.71,55.1,54.01,39549497
12/14/15,55.14,,54.33,55.21,53.68,46768924
12/15/15,55.2,,55.66,55.9,55.09,39842998
12/16/15,56.13,,55.54,56.24,54.76,37503300
12/17/15,55.7,,56.36,56.79,55.53,41280907
12/18/15,54.13,,54.78,56,54.03,84684164
12/21/15,54.83,,54.88,55.35,54.23,37246325
12/22/15,55.35,,54.99,55.48,54.5,28322241
12/23/15,55.82,,55.7,55.88,55.44,27279832
