Week,Average,Two-Week Average,One-Month Average,Two-Month Moving Average,Weekly Average Diff From Base,Two-Week Average Diff From Base,One-Month Average Diff From Base,Two-Month Average Diff From Base,PxCh,Base Sentiment,-0.484585
7/20/2016,-0.484174738,-1.118821114,-1.614852579,-1.014058009,0.000410262,-0.634236114,-1.130267579,-0.529473009,,,
7/27/2016,0.423283116,-0.030445811,-1.213330917,-0.752669963,0.907868116,0.454139189,-0.728745917,-0.268084963,,,
8/3/2016,-0.9237009,-0.250208892,-0.684515003,-0.954273016,-0.4391159,0.234376108,-0.199930003,-0.469688016,,,
8/10/2016,-2.526543715,-1.725122307,-0.877784059,-1.213842373,-2.041958715,-1.240537307,-0.393199059,-0.729257373,,,
8/17/2016,0.431951128,-1.047296293,-0.648752593,-1.131802586,0.916536128,-0.562711293,-0.164167593,-0.647217586,,,
8/24/2016,-0.77685024,-0.172449556,-0.948785932,-1.081058424,-0.29226524,0.312135444,-0.464200932,-0.596473424,,,
8/31/2016,-0.536081858,-0.656466049,-0.851881171,-0.768198087,-0.051496858,-0.171881049,-0.367296171,-0.283613087,,,
9/7/2016,-2.142189217,-1.339135538,-0.755792547,-0.816788303,-1.657604217,-0.854550538,-0.271207547,-0.332203303,,,
9/14/2016,-1.78902645,-1.965607833,-1.311036941,-0.979894767,-1.30444145,-1.481022833,-0.826451941,-0.495309767,,,
9/21/2016,-1.236934468,-1.512980459,-1.426057998,-1.187421965,-0.752349468,-1.028395459,-0.941472998,-0.702836965,,,
9/28/2016,0.816118914,-0.210407777,-1.088007805,-0.969944488,1.300703914,0.274177223,-0.603422805,-0.485359488,,,
10/5/2016,-0.138154614,0.33898215,-0.586999155,-0.671395851,0.346430386,0.82356715,-0.102414155,-0.186810851,,,
10/12/2016,0.538188419,0.200016903,-0.005195437,-0.658116189,1.022773419,0.684601903,0.479389563,-0.173531189,,,
10/19/2016,1.279648032,0.908918226,0.623950188,-0.401053905,1.764233032,1.393503226,1.108535188,0.083531095,,,
10/26/2016,0.344181525,0.811914778,0.50596584,-0.291020982,0.828766525,1.296499778,0.99055084,0.193564018,,,
11/2/2016,0.510958146,0.427569836,0.668244031,0.040622438,0.995543146,0.912154836,1.152829031,0.525207438,,,
11/9/2016,-2.875033779,-1.182037816,-0.185061519,-0.095128478,-2.390448779,-0.697452816,0.299523481,0.389456522,,,
11/16/2016,-2.202020294,-2.538527037,-1.0554786,-0.215764206,-1.717435294,-2.053942037,-0.5708936,0.268820794,,,
11/23/2016,-1.301031558,-1.751525926,-1.466781871,-0.480408015,-0.816446558,-1.266940926,-0.982196871,0.004176985,,,
11/30/2016,-0.357584889,-0.829308223,-1.68391763,-0.5078368,0.127000111,-0.344723223,-1.19933263,-0.0232518,,,
12/7/2016,-0.891458327,-0.624521608,-1.188023767,-0.686542643,-0.406873327,-0.139936608,-0.703438767,-0.201957643,,,
12/14/2016,-4.387387866,-2.639423097,-1.73436566,-1.39492213,-3.902802866,-2.154838097,-1.24978066,-0.91033713,,,
12/21/2016,-1.319575378,-2.853481622,-1.739001615,-1.602891743,-0.834990378,-2.368896622,-1.254416615,-1.118306743,,,
12/28/2016,-0.149929894,-0.734752636,-1.687087867,-1.685502748,0.334655106,-0.250167636,-1.202502867,-1.200917748,,,
1/4/2017,-0.443823793,-0.296876844,-1.575179233,-1.3816015,0.040761207,0.187708156,-1.090594233,-0.8970165,,,
1/11/2017,-0.043116109,-0.243469951,-0.489111294,-1.111738477,0.441468891,0.241115049,-0.004526294,-0.627153477,,,
1/18/2017,-1.16962208,-0.606369094,-0.451622969,-1.095312292,-0.68503708,-0.121784094,0.032962031,-0.610727292,,,
1/25/2017,-0.262470781,-0.716046431,-0.479758191,-1.083423029,0.222114219,-0.231461431,0.004826809,-0.598838029,,,
2/1/2017,-0.066558507,-0.164514644,-0.385441869,-0.980310551,0.418026493,0.320070356,0.099143131,-0.495725551,,,
2/8/2017,-1.063974276,-0.565266391,-0.640656411,-0.564883852,-0.579389276,-0.080681391,-0.156071411,-0.080298852,,,
2/15/2017,-0.31227833,-0.688126303,-0.426320474,-0.438971721,0.17230667,-0.203541303,0.058264526,0.045613279,,,
2/22/2017,-0.780612708,-0.546445519,-0.555855955,-0.517807073,-0.296027708,-0.061860519,-0.071270955,-0.033222073,,,
3/1/2017,-1.608237239,-1.194424973,-0.941275638,-0.663358754,-1.123652239,-0.709839973,-0.456690638,-0.178773754,,,
3/8/2017,-0.865611953,-1.236924596,-0.891685057,-0.766170734,-0.381026953,-0.752339596,-0.407100057,-0.281585734,,,
3/15/2017,-1.833590136,-1.349601044,-1.272013009,-0.849166741,-1.349005136,-0.865016044,-0.787428009,-0.364581741,,,
3/22/2017,0.857551027,-0.488019555,-0.862472075,-0.709164015,1.342136027,-0.003434555,-0.377887075,-0.224579015,,,
3/29/2017,-0.358327422,0.249611802,-0.549994621,-0.74563513,0.126257578,0.734196802,-0.065409621,-0.26105013,,,
4/5/2017,-2.039037681,,,,,,,,,,
4/12/2017,-0.302241439,,,,,,,,,,
